Date,Dollar_Exchange_Rate,Monthly_Change,12-Month_Change
2021-03-10,44.599999999999994,0.11223344556676729,4.0840140023337135
2021-03-11,44.55,-0.11210762331838042,3.604651162790695
2021-03-12,44.349999999999994,-0.44893378226712466,3.0197444831591147
2021-03-15,44.5,0.33821871476888976,3.368176538908263
2021-03-16,44.55,0.11235955056179137,3.124999999999978
2021-03-17,44.5,-0.11223344556676729,3.009259259259256
2021-03-18,44.45,-0.11235955056179137,3.0127462340671984
2021-03-19,44.349999999999994,-0.22497187851520106,2.188940092165881
2021-03-22,44.150000000000006,-0.4509582863584827,0.2270147559591651
2021-03-23,44.25,0.22650056625139747,0.4540295119182858
2021-03-24,44.099999999999994,-0.3389830508474745,-0.6756756756757021
2021-03-25,44.3,0.45351473922903285,-0.561167227833892
2021-03-26,44.400000000000006,0.22573363431153126,-0.4484304932735217
2021-04-05,44.25,-0.33783783783785104,-0.6734006734006703
2021-04-06,44.25,0.0,-0.22547914317924134
2021-04-07,44.2,-0.1129943502824804,-0.6741573033707815
2021-04-08,44.05,-0.33936651583711397,-1.122334455667784
2021-04-09,43.900000000000006,-0.34052213393869213,-1.348314606741563
2021-04-12,44.099999999999994,0.455580865603622,-0.7874015748031704
2021-04-13,44.3,0.45351473922903285,-0.11273957158962622
2021-04-14,44.2,-0.22573363431149795,0.11325028312569874
2021-04-15,44.150000000000006,-0.11312217194568985,-0.2259887005649608
2021-04-16,44.150000000000006,0.0,0.11337868480727487
2021-04-20,44.25,0.22650056625139747,-0.11286681715575453
2021-04-21,44.2,-0.1129943502824804,-0.45045045045045695
2021-04-22,44.150000000000006,-0.11312217194568985,-0.2259887005649608
2021-04-23,44.099999999999994,-0.11325028312573204,-0.3389830508474745
2021-04-26,44.05,-0.11337868480725266,-0.33936651583711397
2021-04-27,44.05,0.0,0.0
2021-04-28,44.05,0.0,0.3416856492027165
2021-04-29,43.849999999999994,-0.4540295119182858,-0.5668934240362855
2021-04-30,43.849999999999994,0.0,-1.015801354401813
2021-05-03,43.900000000000006,0.11402508551883184,-0.6787330316742057
2021-05-04,43.900000000000006,0.0,-0.5662514156285381
2021-05-05,44.05,0.3416856492027165,-0.22650056625143078
2021-05-06,44.099999999999994,0.11350737797957144,-0.3389830508474745
2021-05-07,43.95,-0.3401360544217469,-0.5656108597285048
2021-05-10,43.849999999999994,-0.22753128555178526,-0.6795016987542701
2021-05-11,44.0,0.3420752565564511,-0.22675736961449422
2021-05-12,44.0,0.0,-0.11350737797956034
2021-05-13,44.150000000000006,0.3409090909091139,0.2270147559591651
2021-05-14,44.150000000000006,0.0,0.2270147559591651
2021-05-18,44.150000000000006,0.0,0.6841505131129022
2021-05-19,44.05,-0.22650056625143078,0.45610034207526073
2021-05-20,44.150000000000006,0.2270147559591651,0.5694760820045497
2021-05-21,44.05,-0.22650056625143078,0.3416856492027165
2021-05-24,44.099999999999994,0.11350737797957144,0.11350737797957144
2021-05-25,43.95,-0.3401360544217469,-0.3401360544217469
2021-05-26,43.900000000000006,-0.11376564277587597,-0.11376564277587597
2021-05-27,43.849999999999994,-0.1138952164009388,0.0
2021-05-28,43.8,-0.11402508551880963,-0.454545454545463
2021-05-31,43.900000000000006,0.22831050228313554,-0.2272727272727093
2021-06-01,43.849999999999994,-0.1138952164009388,-0.6795016987542701
2021-06-02,43.7,-0.3420752565564178,-1.0192525481313774
2021-06-03,43.650000000000006,-0.11441647597253413,-1.1325028312570762
2021-06-04,43.7,0.11454753722794919,-0.7945516458569668
2021-06-07,43.599999999999994,-0.22883295194510156,-1.2457531143828082
2021-06-08,43.55,-0.11467889908256534,-1.1350737797956922
2021-06-09,43.5,-0.11481056257175437,-1.3605442176870652
2021-06-10,43.55,0.11494252873562871,-0.9101251422070633
2021-06-11,43.599999999999994,0.11481056257174327,-0.6833712984054885
2021-06-14,43.7,0.2293577981651529,-0.3420752565564178
2021-06-15,43.599999999999994,-0.22883295194510156,-0.45662100456621557
2021-06-16,43.650000000000006,0.11467889908258755,-0.5694760820045608
2021-06-17,43.7,0.11454753722794919,-0.3420752565564178
2021-06-18,43.7,0.0,0.0
2021-06-21,43.849999999999994,0.3432494279175913,0.45819014891177456
2021-06-22,43.599999999999994,-0.5701254275940704,-0.22883295194510156
2021-06-23,43.55,-0.11467889908256534,-0.11467889908256534
2021-06-24,43.45,-0.22962112514349764,-0.22962112514349764
2021-06-25,43.45,0.0,-0.11494252873562871
2021-06-28,43.55,0.23014959723819395,0.0
2021-06-29,43.55,0.0,-0.11467889908256534
2021-06-30,43.5,-0.11481056257175437,-0.4576659038901698
2021-07-01,43.7,0.45977011494253706,0.2293577981651529
2021-07-02,43.7,0.0,0.11454753722794919
2021-07-05,43.8,0.22883295194506825,0.22883295194506825
2021-07-06,43.75,-0.11415525114154557,0.11441647597252302
2021-07-07,43.900000000000006,0.34285714285715585,0.11402508551883184
2021-07-08,44.05,0.3416856492027165,1.0321100917431325
2021-07-09,43.95,-0.22701475595912068,0.9184845005740572
2021-07-12,43.849999999999994,-0.22753128555178526,0.920598388952798
2021-07-13,43.95,0.22805017103764147,1.1507479861910141
2021-07-14,43.95,0.0,0.9184845005740572
2021-07-15,43.849999999999994,-0.22753128555178526,0.6888633754305262
2021-07-16,43.870000000000005,0.04561003420755494,0.8505747126436924
2021-07-19,43.900000000000006,0.06838386140870512,0.4576659038901587
