date,dollar_exchange_rate,day_name,month_name,day,month,year,daily_change,monthly_change,yearly_change
2001-10-01,13.65,Monday,October,1.0,10.0,2001.0,0.0,,
2001-10-02,13.7,Tuesday,October,2.0,10.0,2001.0,0.3663003663003585,,
2001-10-03,13.8,Wednesday,October,3.0,10.0,2001.0,0.7299270072992805,,
2001-10-04,14.0,Thursday,October,4.0,10.0,2001.0,1.4492753623188355,,
2001-10-05,14.0,Friday,October,5.0,10.0,2001.0,0.0,,
2001-10-08,14.0,Monday,October,8.0,10.0,2001.0,0.0,,
2001-10-09,14.0,Tuesday,October,9.0,10.0,2001.0,0.0,,
2001-10-10,14.0,Wednesday,October,10.0,10.0,2001.0,0.0,,
2001-10-11,14.0,Thursday,October,11.0,10.0,2001.0,0.0,,
2001-10-12,14.05,Friday,October,12.0,10.0,2001.0,0.3571428571428622,,
2001-10-16,13.95,Tuesday,October,16.0,10.0,2001.0,-0.711743772242003,,
2001-10-17,13.95,Wednesday,October,17.0,10.0,2001.0,0.0,,
2001-10-18,13.95,Thursday,October,18.0,10.0,2001.0,0.0,,
2001-10-19,13.95,Friday,October,19.0,10.0,2001.0,0.0,,
2001-10-22,13.95,Monday,October,22.0,10.0,2001.0,0.0,,
2001-10-23,13.95,Tuesday,October,23.0,10.0,2001.0,0.0,,
2001-10-24,13.95,Wednesday,October,24.0,10.0,2001.0,0.0,,
2001-10-25,13.95,Thursday,October,25.0,10.0,2001.0,0.0,,
2001-10-26,13.95,Friday,October,26.0,10.0,2001.0,0.0,,
2001-10-29,14.05,Monday,October,29.0,10.0,2001.0,0.7168458781362109,,
2001-10-30,14.05,Tuesday,October,30.0,10.0,2001.0,0.0,,
2001-10-31,14.05,Wednesday,October,31.0,10.0,2001.0,0.0,2.930402930402933,
2001-11-01,14.05,Thursday,November,1.0,11.0,2001.0,0.0,2.5547445255474557,
2001-11-02,14.05,Friday,November,2.0,11.0,2001.0,0.0,1.8115942028985508,
2001-11-06,14.05,Tuesday,November,6.0,11.0,2001.0,0.0,0.3571428571428622,
2001-11-07,14.05,Wednesday,November,7.0,11.0,2001.0,0.0,0.3571428571428622,
2001-11-08,14.05,Thursday,November,8.0,11.0,2001.0,0.0,0.3571428571428622,
2001-11-09,14.0,Friday,November,9.0,11.0,2001.0,-0.3558718861210015,0.0,
2001-11-12,14.0,Monday,November,12.0,11.0,2001.0,0.0,-0.3558718861210015,
2001-11-13,14.0,Tuesday,November,13.0,11.0,2001.0,0.0,-0.3558718861210015,
2001-11-14,14.0,Wednesday,November,14.0,11.0,2001.0,0.0,-0.3558718861210015,
2001-11-15,14.0,Thursday,November,15.0,11.0,2001.0,0.0,0.35842293906810546,
2001-11-16,14.0,Friday,November,16.0,11.0,2001.0,0.0,0.35842293906810546,
2001-11-19,14.0,Monday,November,19.0,11.0,2001.0,0.0,0.35842293906810546,
2001-11-20,14.0,Tuesday,November,20.0,11.0,2001.0,0.0,0.35842293906810546,
2001-11-21,14.0,Wednesday,November,21.0,11.0,2001.0,0.0,0.35842293906810546,
2001-11-22,14.0,Thursday,November,22.0,11.0,2001.0,0.0,0.35842293906810546,
2001-11-23,14.0,Friday,November,23.0,11.0,2001.0,0.0,0.35842293906810546,
2001-11-26,13.95,Monday,November,26.0,11.0,2001.0,-0.3571428571428622,0.0,
2001-11-27,13.9,Tuesday,November,27.0,11.0,2001.0,-0.35842293906809275,-0.35842293906809275,
